 site       X              Y              Z             EMT           DFT
  1   0.0000000000   0.0000000000  -5.0000000000  -0.9271764813  -1.0481367200
  1   0.0000000000   0.0000000000  -4.8000000000  -0.9064899545  -1.0341551400
  1   0.0000000000   0.0000000000  -4.6000000000  -0.9456658089  -1.0634472300
  1   0.0000000000   0.0000000000  -4.4000000000  -1.0291476124  -1.1120685600
  1   0.0000000000   0.0000000000  -4.2000000000  -1.0841136203  -1.1441723700
  1   0.0000000000   0.0000000000  -4.0000000000  -1.0880251711  -1.1428062800
  1   0.0000000000   0.0000000000  -3.8000000000  -1.0767680652  -1.1234914100
  1   0.0000000000   0.0000000000  -3.6000000000  -1.0733142820  -1.1164879700
  1   0.0000000000   0.0000000000  -3.4000000000  -1.0922382100  -1.1326124900
  1   0.0000000000   0.0000000000  -3.2000000000  -1.1070004250  -1.1507669400
  1   0.0000000000   0.0000000000  -3.0000000000  -1.1053168813  -1.1421717100
  1   0.0000000000   0.0000000000  -2.8000000000  -1.0392080527  -1.1025158700
  1   0.0000000000   0.0000000000  -2.6000000000  -0.9794016806  -1.0585963200
  1   0.0000000000   0.0000000000  -2.4000000000  -0.9902204054  -1.0456280500
  1   0.0000000000   0.0000000000  -2.2000000000  -1.0665269383  -1.0771306200
  1   0.0000000000   0.0000000000  -2.0000000000  -1.1704385903  -1.1313340400
  1   0.0000000000   0.0000000000  -1.8000000000  -1.2338655556  -1.1516515500
  1   0.0000000000   0.0000000000  -1.6000000000  -1.1417194128  -1.0166319300
  1   0.0000000000   0.0000000000  -1.4000000000  -0.5156469982  -0.3742959700
  1   0.0000000000   0.0000000000  -1.2000000000   1.7811710049   1.8422229800
  1   0.0000000000   0.0000000000  -1.0000000000   8.4684585275   8.5517769600
  1   0.0000000000   0.0000000000   1.0000000000   7.8769511430   7.6765841000
  1   0.0000000000   0.0000000000   1.2000000000   1.0755236329   0.8766178600
  1   0.0000000000   0.0000000000   1.4000000000  -1.2548487672  -1.3052850000
  1   0.0000000000   0.0000000000   1.6000000000  -1.7618798075  -1.7566152900
  1   0.0000000000   0.0000000000   1.8000000000  -1.5900300701  -1.5797203200
  1   0.0000000000   0.0000000000   2.0000000000  -1.2322453974  -1.1983958900
  1   0.0000000000   0.0000000000   2.2000000000  -0.8772781885  -0.7846930900
  1   0.0000000000   0.0000000000   2.4000000000  -0.5937531899  -0.4237280100
  1   0.0000000000   0.0000000000   2.6000000000  -0.3853828960  -0.2072099100
  1   0.0000000000   0.0000000000   2.8000000000  -0.2291566214  -0.0962708300
  1   0.0000000000   0.0000000000   3.0000000000  -0.1237463090  -0.0451418900
  1   0.0000000000   0.0000000000   3.2000000000  -0.0557583243  -0.0222995900
  1   0.0000000000   0.0000000000   3.4000000000  -0.0139963222  -0.0120612900
  1   0.0000000000   0.0000000000   3.6000000000   0.0100437113  -0.0075157000
  1   0.0000000000   0.0000000000   3.8000000000   0.0225001624  -0.0055164800
  1   0.0000000000   0.0000000000   4.0000000000   0.0269863807  -0.0045484600
  1   0.0000000000   0.0000000000   4.2000000000   0.0110416247  -0.0039407100
  1   0.0000000000   0.0000000000   4.4000000000  -0.0013457897  -0.0034222300
  1   0.0000000000   0.0000000000   4.6000000000   0.0008678636  -0.0029049400
  1   0.0000000000   0.0000000000   4.8000000000   0.0021540521  -0.0023772200
  1   0.0000000000   0.0000000000   5.0000000000   0.0025070698  -0.0018477500
  1   0.0000000000   0.0000000000   5.2000000000  -0.0001193517  -0.0013408400
  1   0.0000000000   0.0000000000   5.4000000000  -0.0000482741  -0.0008915600
  1   0.0000000000   0.0000000000   5.6000000000  -0.0000019613  -0.0004981300
  1   0.0000000000   0.0000000000   5.8000000000  -0.0000000684  -0.0001762000
  1   0.0000000000   0.0000000000   6.0000000000  -0.0000000023   0.0000742300
  2   0.4950925980   0.0000000000  -5.0000000000   0.4626648051   0.2716979800
  2   0.4950925980   0.0000000000  -4.8000000000   0.5382357694   0.3770731100
  2   0.4950925980   0.0000000000  -4.6000000000   0.2754092807   0.1762262800
  2   0.4950925980   0.0000000000  -4.4000000000  -0.1810126149  -0.2207344500
  2   0.4950925980   0.0000000000  -4.2000000000  -0.6296158480  -0.6282200700
  2   0.4950925980   0.0000000000  -4.0000000000  -0.9299113710  -0.9175127000
  2   0.4950925980   0.0000000000  -3.8000000000  -1.0555748657  -1.0634802500
  2   0.4950925980   0.0000000000  -3.6000000000  -1.0803134039  -1.0959496300
  2   0.4950925980   0.0000000000  -3.4000000000  -1.0340880975  -1.0284113300
  2   0.4950925980   0.0000000000  -3.2000000000  -0.8590108293  -0.8353097100
  2   0.4950925980   0.0000000000  -3.0000000000  -0.4998659062  -0.4975200700
  2   0.4950925980   0.0000000000  -2.8000000000  -0.0393745443  -0.0754113000
  2   0.4950925980   0.0000000000  -2.6000000000   0.3521923002   0.2706121000
  2   0.4950925980   0.0000000000  -2.4000000000   0.4696034237   0.3650925200
  2   0.4950925980   0.0000000000  -2.2000000000   0.2358310387   0.1539438000
